ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at
"177.195.238.129","elite","N/A","BR","N/A","N/A","N/A","4153","socks4","N/A","5041","2021-10-27T08:23:22.439Z"
"177.184.67.61","elite","N/A","BR","N/A","185","N/A","4145","socks4","N/A","N/A","2021-10-27T08:23:04.964Z"
"178.19.176.24","elite","N/A","PL","N/A","179","N/A","5678","socks4","N/A","5003","2021-10-27T08:23:02.097Z"
"177.36.185.179","elite","N/A","BR","N/A","199","N/A","5678","socks4","N/A","N/A","2021-10-27T08:22:54.734Z"
"159.224.243.185","elite","N/A","UA","N/A","186","N/A","61303","socks4","N/A","N/A","2021-10-27T08:22:51.993Z"
"154.198.4.46","elite","N/A","ZA","N/A","184","N/A","5678","socks4","N/A","350","2021-10-27T08:22:49.167Z"
"150.129.170.13","elite","N/A","IN","N/A","262","N/A","44502","socks4","N/A","5010","2021-10-27T08:22:46.892Z"
"154.72.67.186","elite","N/A","TZ","N/A","350","N/A","5678","socks4","N/A","656","2021-10-27T08:22:40.729Z"
"150.129.109.14","elite","N/A","IN","N/A","246","N/A","5678","socks4","N/A","N/A","2021-10-27T08:22:36.939Z"
"156.67.115.5","elite","N/A","PL","N/A","184","N/A","4145","socks4","N/A","N/A","2021-10-27T08:22:34.639Z"
"156.0.229.194","elite","N/A","ZA","N/A","307","N/A","42692","socks4","N/A","N/A","2021-10-27T08:22:33.666Z"
"159.203.74.168","elite","N/A","US","N/A","79","N/A","8080","socks4","N/A","769","2021-10-27T08:22:32.052Z"
"117.241.97.229","elite","N/A","IN","N/A","288","N/A","5678","socks4","N/A","5065","2021-10-27T08:22:28.942Z"
"117.79.80.91","elite","N/A","CN","N/A","161","N/A","4145","socks4","N/A","N/A","2021-10-27T08:22:20.704Z"
"117.242.147.97","elite","N/A","IN","N/A","262","N/A","4153","socks4","N/A","N/A","2021-10-27T08:22:17.947Z"
"115.178.27.155","elite","N/A","KH","N/A","204","N/A","5678","socks4","N/A","468","2021-10-27T08:22:16.531Z"
"119.148.103.230","elite","N/A","BD","N/A","253","N/A","4153","socks4","N/A","N/A","2021-10-27T08:22:13.534Z"
"117.206.83.218","elite","N/A","IN","N/A","267","N/A","44550","socks4","N/A","N/A","2021-10-27T08:22:10.820Z"
"114.7.192.254","elite","N/A","ID","N/A","242","N/A","4153","socks4","N/A","5053","2021-10-27T08:22:08.908Z"
"117.196.237.177","elite","N/A","IN","N/A","329","N/A","5678","socks4","N/A","N/A","2021-10-27T08:22:01.184Z"
"103.12.160.159","elite","N/A","KH","N/A","225","N/A","5678","socks4","N/A","5010","2021-10-27T08:21:58.525Z"
"103.108.243.238","elite","N/A","ID","N/A","223","N/A","5678","socks4","N/A","N/A","2021-10-27T08:21:50.866Z"
"103.111.53.82","elite","N/A","ID","N/A","224","N/A","58033","socks4","N/A","470","2021-10-27T08:21:47.972Z"
"102.182.64.201","elite","N/A","ZA","N/A","303","N/A","5678","socks4","N/A","5001","2021-10-27T08:21:44.954Z"
"103.107.68.186","elite","N/A","ID","N/A","184","N/A","5430","socks4","N/A","N/A","2021-10-27T08:21:37.542Z"
"103.12.246.89","elite","N/A","IN","N/A","266","N/A","4145","socks4","N/A","N/A","2021-10-27T08:21:35.280Z"
"103.119.55.226","elite","N/A","ID","N/A","207","N/A","5678","socks4","N/A","410","2021-10-27T08:21:32.481Z"
"103.117.108.97","elite","N/A","BD","N/A","262","N/A","4153","socks4","N/A","N/A","2021-10-27T08:21:30.045Z"
"79.142.57.215","elite","N/A","KZ","N/A","263","N/A","5678","socks4","N/A","5001","2021-10-27T08:21:27.105Z"
"77.242.235.33","elite","N/A","PL","N/A","N/A","N/A","4153","socks4","N/A","5008","2021-10-27T08:21:20.980Z"
"78.92.254.9","elite","N/A","HU","N/A","179","N/A","53718","socks4","N/A","N/A","2021-10-27T08:21:03.766Z"
"79.106.229.51","elite","N/A","AL","N/A","190","N/A","4145","socks4","N/A","N/A","2021-10-27T08:21:01.305Z"
"78.30.227.3","elite","N/A","UA","N/A","255","N/A","3629","socks4","N/A","454","2021-10-27T08:21:00.414Z"
